Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,277,South Sudan,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,0,Fc,Calculated data
EF,Fertilizers,277,South Sudan,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,0,Fc,Calculated data
EF,Fertilizers,277,South Sudan,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,0,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0.28,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0.37,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0.4,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,0.25,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0.26,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0.26,Fc,Calculated data
EF,Fertilizers,226,Uganda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,0.64,Fc,Calculated data
